"priority","document","id","grade","page","categories","warnings","source_pdf","text"
"critical-review","15. Management of Diabetes in Pregnancy","15.26","C","10","Pregnancy and childbearing; Insulin or high-risk glucose-lowering medication","","guidelines-sources/ADA/2025/15. Management of Diabetes in Pregnancy.pdf","Insulin requirements need to be evaluated and adjusted for individuals requiring insulin after delivery because insulin resistance decreases dramatically immediately postpartum."
"critical-review","16. Diabetes Care in the Hospital","16.8a","A","4","Acute emergency risk; Insulin or high-risk glucose-lowering medication","","guidelines-sources/ADA/2025/16. Diabetes Care in the Hospital.pdf","Continuous intravenous insulin infusion is recommended for achieving glycemic goals and avoiding hypoglycemia in critically ill individuals."
"critical-review","16. Diabetes Care in the Hospital","16.12","C","5","Acute emergency risk; Contraindications, warnings, and adverse effects","","guidelines-sources/ADA/2025/16. Diabetes Care in the Hospital.pdf","A hypoglycemia management surveillance protocol should be adopted by all health systems. A plan for identifying, treating, and preventing hypoglycemia should be established for each individual. Episodes of hypoglycemia in the hospital should be documented in the health record and tracked to inform quality improvements."
"critical-review","16. Diabetes Care in the Hospital","16.14","A","8","Acute emergency risk; Insulin or high-risk glucose-lowering medication","","guidelines-sources/ADA/2025/16. Diabetes Care in the Hospital.pdf","Manage diabetic ketoacidosis (DKA) and hyperglycemic hyperosmolar state (HHS) by administering intravenous fluids, insulin, and electrolytes (Fig. 16.1) and by closely monitoring during treatment, ensuring timely and bridged transition to maintenance subcutaneous insulin administration, and identifying and treating the precipitating cause."
"critical-review","3. Prevention or Delay of Diabetes and Associated Comorbidities Standards of Care in Diabetes—2025","3.6","A","2","Cardiovascular disease and BP/lipids; Diagnosis, screening, or numeric thresholds","very-long","guidelines-sources/ADA/2025/3. Prevention or Delay of Diabetes and Associated Comorbidities Standards of Care in Diabetes—2025.pdf","Based on individual preference, certified technology-assisted diabetes prevention programs may be effective in preventing type 2 diabetes and should be considered. B The Diabetes Prevention Program Several major randomized controlled trials, including the Diabetes Prevention Program (DPP) trial (5), the Finnish Diabetes Prevention Study (DPS) (6), and the Da Qing Diabetes Prevention Study (Da Qing study) (7), demonstrate that lifestyle/behavioral intervention with an individualized reduced-calorie meal plan is highly effective in preventing or delaying type 2 diabetes and improving other cardiometabolic risk factors (such as blood pressure, lipids, and inflammation) (8). The strongest evidence for diabetes prevention in the U.S. comes from the DPP trial (5). The DPP demonstrated that intensive lifestyle intervention could reduce the risk of incident type 2 diabetes by 58% over 3 years. Follow-up of three large trials of lifestyle intervention for diabetes prevention showed sustained reduction in the risk of progression to type 2 diabetes: 39% reduction at 30 years in the Da Qing study (9), 43% reduction at 7 years in the Finnish DPS (6), and 34% reduction at 10 years (10) and 27% reduction at 15 years (11) in the U.S. Diabetes Prevention Program Outcomes Study (DPPOS). The DPP lifestyle intervention was a goal-based intervention. All participants were given the same weight loss and physical activity goals, but individualization was permitted to achieve the goals (12). The two major goals of the DPP intensive lifestyle intervention were to achieve and maintain a minimum of 7% weight loss and to partake in 150 min of moderate-intensity physical activity per week, such as brisk walking. Although weight loss was the most important factor in reducing the risk of incident diabetes, achieving the behavioral goal of at least 150 min of physical activity per week, even without achieving the weight loss goal, reduced the incidence of type 2 diabetes by 44% (13). The 7% weight loss goal was selected because it was feasible to achieve and maintain and likely to lessen the risk of developing diabetes (as well as improve other cardiometabolic risk factors). Participants were encouraged to achieve the ≥7% weight loss during the first 6 months of the intervention. Further analysis suggests higher benefit for prevention of diabetes with at least 7–10% weight loss with lifestyle interventions (13). The recommended pace of weight loss was 1–2 lb/week. Calorie goals were calculated by estimating the daily calories needed to maintain the participant’s initial weight and subtracting 500–1,000 calories/day (depending on initial body weight). The initial focus of the nutrition intervention was on reducing total fat rather than calories. After several weeks, the concepts of calorie balance and the need to restrict calories and fat were introduced (12). The goal for physical activity was selected to approximate at least 700 kcal/week expenditure from physical activity. For ease of translation, this goal was described as at least 150 min of moderate-intensity physical activity per week, similar in intensity to brisk walking. Participants were encouraged to distribute their activity throughout the week with a minimum frequency of three times per week and at least 10 min per session."
"critical-review","9. Pharmacologic Approaches to Glycemic Treatment","9.23","E","8","Insulin or high-risk glucose-lowering medication; Diagnosis, screening, or numeric thresholds","missing-spaces","guidelines-sources/ADA/2025/9. Pharmacologic Approaches to Glycemic Treatment.pdf","In adults with type 2 diabetes, initiation of insulin should be considered regardless of background glucoselowering therapy or disease stage if symptoms of hyperglycemia are present or when A1C or blood glucose levels are very high (i.e., A1C >10% [>86 mmol/mol] or blood glucose ≥300 mg/dL [≥16.7 mmol/L])."
"critical-review","10. Cardiovascular Disease and Risk Management","10.2","A","3","Cardiovascular disease and BP/lipids; Diagnosis, screening, or numeric thresholds","very-long","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","Counsel all people with hypertension and diabetes to monitor their blood pressure at home after appropriate education. A Blood pressure should be measured at every routine clinical visit by a trained individual who should follow the guidelines established for the general population: measurement in the seated position, with feet on the floor and arm supported at heart level, after 5 min of rest. Cuff size should be appropriate for the upper-arm circumference (26). Individuals identified to have elevated blood pressure or hypertension should have blood pressure confirmed using multiple readings, including measurements on a separate day, to diagnose hypertension. However, in individuals with cardiovascular disease and blood pressure ≥180/110 mmHg, it is reasonable to diagnose hypertension at a single visit (22). Postural changes in blood pressure and pulse may be evidence of autonomic neuropathy and therefore require adjustment of blood pressure goals. Orthostatic blood pressure measurements should be checked on initial visit and as indicated. Home blood pressure self-monitoring and 24-h ambulatory blood pressure monitoring may provide evidence of white coat hypertension, masked hypertension, or other discrepancies between office and true blood pressure (27,28). In addition to confirming or refuting a diagnosis of hypertension, home blood pressure assessment may be useful to monitor antihypertensive treatment."
"critical-review","14. Children and Adolescents","14.7","C","4","Children and adolescents; Diagnosis, screening, or numeric thresholds","hyphenation-fragments","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Physical activity is recommended for all youth with type 1 diabetes with the goal of 60 min of moderate- to vigorous-intensity aerobic activity daily, with vigorous muscle-strengthening and bone-strengthening activities at least 3 days per week."
"critical-review","15. Management of Diabetes in Pregnancy","15.23","A","9","Cardiovascular disease and BP/lipids; Diagnosis, screening, or numeric thresholds","very-long","guidelines-sources/ADA/2025/15. Management of Diabetes in Pregnancy.pdf","Pregnant individuals with type 1 or type 2 diabetes should be prescribed low-dose aspirin 100–150 mg/day starting at 12–16 weeks of gestation to lower the risk of preeclampsia. E A dosage of 162 mg/day may be acceptable; E currently, in the U.S., low-dose aspirin is available in 81-mg tablets. Diabetes in pregnancy is associated with an increased risk of preeclampsia (128). The U.S. Preventive Services Task Force recommends that blood pressure measurements be obtained throughout gestation to screen for hypertensive disorders of pregnancy (129). The Task Force also recommends using low-dose aspirin (81 mg/day) as a preventive medication at 12 weeks of gestation in individuals at high risk for preeclampsia, such as those with type 1 or type 2 diabetes (130). However, a meta-analysis and an additional trial demonstrate that low-dose aspirin <100 mg is not effective in reducing preeclampsia, so a dose of >100 mg is required (131–133)."
"critical-review","16. Diabetes Care in the Hospital","16.4b","B","2","Insulin or high-risk glucose-lowering medication; Diagnosis, screening, or numeric thresholds","missing-spaces","guidelines-sources/ADA/2025/16. Diabetes Care in the Hospital.pdf","Insulin and/or other glucoselowering therapies should be initiated or intensified for treatment of persistent hyperglycemia starting at a threshold of ≥180 mg/dL (≥10.0 mmol/L) (confirmed on two occasions within 24 h) for the majority of noncritically ill individuals (those not in the ICU)."
"critical-review","16. Diabetes Care in the Hospital","16.13","A","5","Acute emergency risk; Diagnosis, screening, or numeric thresholds","column-bleed; very-long","guidelines-sources/ADA/2025/16. Diabetes Care in the Hospital.pdf","Treatment plans should be reviewed and changed as necessary to prevent hypoglycemia and recurrent hypoglycemia when a blood glucose value of <70 mg/dL (<3.9 mmol/L) is documented. C People with or without diabetes may experience hypoglycemia in the hospital setting. While hypoglycemia is associated with increased mortality (90,91), in many cases, it is a marker of an underlying disease rather than the cause of fatality. However, hypoglycemia is a severe consequence of dysregulated metabolism and/or diabetes treatment, and it is imperative that it be minimized during hospitalization. Many episodes of inpatient hypoglycemia are preventable. A hypoglycemia prevention and management protocol should be adopted and implemented by each hospital or hospital system. A standardized hospital-wide, nurse-initiated hypoglycemia treatment protocol should be in place to immediately address blood glucose levels <70 mg/dL (<3.9 mmol/L) (92,93). In addition, individualized plans for preventing and treating hypoglycemia for each person should also be developed. An American Diabetes Association (ADA) consensus statement recommends that an individual’s treatment plan be reviewed any time a blood glucose value of <70 mg/dL (<3.9 mmol/L) occurs, as this level often predicts subsequent level 3 hypoglycemia (94). Episodes of hypoglycemia in the hospital should be documented in the EHR and tracked (1)."
"high-review","1. Improving Care and Promoting","1.6","C","6","Contraindications, warnings, and adverse effects; Therapy substitution, access, or affordability","","guidelines-sources/ADA/2025/1. Improving Care and Promoting.pdf","Health systems should assess and address disparities in diabetes care and health outcomes (e.g., by stratifying clinical quality data by factors such as insurance status, race, ethnicity, preferred language for health care discussions, disability, and other social determinants of health)."
"high-review","2. Diagnosis and Classification of DM","2.4","B","3","Pregnancy and childbearing; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/2. Diagnosis and Classification of DM.pdf","In conditions associated with an altered relationship between A1C and glycemia, such as some hemoglobin variants, pregnancy (second and third trimesters and the postpartum period), glucose-6-phosphate dehydrogenase deficiency, HIV, hemodialysis, recent blood loss or transfusion, hemolysis, or erythropoietin therapy, plasma glucose criteria should be used to diagnose diabetes."
"high-review","2. Diagnosis and Classification of DM","2.19","B","13","Contraindications, warnings, and adverse effects; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/2. Diagnosis and Classification of DM.pdf","A1C is not recommended as a screening test for CFRD due to low sensitivity. However, a value of ≥6.5% (≥48 mmol/mol) is consistent with a diagnosis of CFRD."
"high-review","2. Diagnosis and Classification of DM","2.25","E","16","Pregnancy and childbearing; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/2. Diagnosis and Classification of DM.pdf","In individuals who are planning pregnancy, screen those with risk factors (Table 2.5) B and consider testing all individuals of childbearing potential for undiagnosed prediabetes or diabetes."
"high-review","2. Diagnosis and Classification of DM","2.28","B","16","Pregnancy and childbearing; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/2. Diagnosis and Classification of DM.pdf","Screen individuals with GDM for prediabetes or diabetes at 4–12 weeks postpartum, using the 75-g OGTT and clinically appropriate nonpregnancy diagnostic criteria."
"high-review","3. Prevention or Delay of Diabetes and Associated Comorbidities Standards of Care in Diabetes—2025","3.14","A","6","Pregnancy and childbearing; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/3. Prevention or Delay of Diabetes and Associated Comorbidities Standards of Care in Diabetes—2025.pdf","More intensive preventive approaches should be considered in individuals who are at particularly high risk of progression to diabetes, including individuals with BMI ≥35 kg/m2 , those at higher glucose levels (e.g., fasting plasma glucose 110–125 mg/dL [6.1–6.9 mmol/L], 2-h postchallenge glucose 173–199 mg/dL [9.6–11.0 mmol/L], and A1C ≥6.0% [≥42 mmol/mol]), and individuals with a history of gestational diabetes mellitus."
"high-review","4. Comprehensive Medical Evaluation and Assessment of Comorbidities Standards of Care in Diabetes2025","4.1","B","1","Contraindications, warnings, and adverse effects; Therapy substitution, access, or affordability","","guidelines-sources/ADA/2025/4. Comprehensive Medical Evaluation and Assessment of Comorbidities Standards of Care in Diabetes2025.pdf","A communication style that uses person-centered, culturally sensitive, and strength-based language and active listening; elicits individual preferences and beliefs; and assesses literacy, numeracy, and potential barriers to care should be used to optimize health outcomes and health-related quality of life."
"high-review","4. Comprehensive Medical Evaluation and Assessment of Comorbidities Standards of Care in Diabetes2025","4.8","A","6","Contraindications, warnings, and adverse effects; Older adults, frailty, and deintensification","","guidelines-sources/ADA/2025/4. Comprehensive Medical Evaluation and Assessment of Comorbidities Standards of Care in Diabetes2025.pdf","Assess fracture risk in older adults with diabetes as a part of routine care in diabetes clinical practice, according to risk factors and comorbidities."
"high-review","4. Comprehensive Medical Evaluation and Assessment of Comorbidities Standards of Care in Diabetes2025","4.13","A","6","Contraindications, warnings, and adverse effects; Older adults, frailty, and deintensification","","guidelines-sources/ADA/2025/4. Comprehensive Medical Evaluation and Assessment of Comorbidities Standards of Care in Diabetes2025.pdf","Antiresorptive medications and osteoanabolic agents should be recommended for older adults with diabetes who are at higher risk of fracture, including those with low bone mineral density with a T-score #2.0, history of fragility fracture, or elevated Fracture Risk Assessment Tool score (≥3% for hip fracture or ≥20% for major osteoporotic fracture). B Determination of fracture risk traditionally has relied on measurements of bone mineral density (BMD) and the World Health Organization–defined T-score of #–2.5 SD. However, it is now established that the consideration of other risk factors improves the categorization of fracture risk (Table 4.4). There are factors beyond BMD that contribute to bone strength in people with diabetes."
"high-review","4. Comprehensive Medical Evaluation and Assessment of Comorbidities Standards of Care in Diabetes2025","4.22a","B","15","Cardiovascular disease and BP/lipids; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/4. Comprehensive Medical Evaluation and Assessment of Comorbidities Standards of Care in Diabetes2025.pdf","Screen adults with type 2 diabetes or with prediabetes, particularly those with obesity or other cardiometabolic risk factors or established cardiovascular disease, for their risk of having or developing cirrhosis related to metabolic dysfunction–associated steatohepatitis (MASH) using a calculated fibrosis-4 index (FIB-4) (derived from age, ALT, AST, and platelets [mdcalc.com/calc/2200/fibrosis4-fib-4index-liver-fibrosis]), even if they have normal liver enzymes."
"high-review","4. Comprehensive Medical Evaluation and Assessment of Comorbidities Standards of Care in Diabetes2025","4.32a","B","17","Cardiovascular disease and BP/lipids; Procedures, surgery, technology, or devices","","guidelines-sources/ADA/2025/4. Comprehensive Medical Evaluation and Assessment of Comorbidities Standards of Care in Diabetes2025.pdf","Consider metabolic surgery in appropriate candidates as an option to treat MASH in adults with type 2 diabetes B and to improve cardiovascular outcomes."
"high-review","4. Comprehensive Medical Evaluation and Assessment of Comorbidities Standards of Care in Diabetes2025","4.32b","B","17","Contraindications, warnings, and adverse effects; Procedures, surgery, technology, or devices","","guidelines-sources/ADA/2025/4. Comprehensive Medical Evaluation and Assessment of Comorbidities Standards of Care in Diabetes2025.pdf","Metabolic surgery should be used with caution in adults with type 2 diabetes with compensated cirrhosis from MASLD B and is not recommended in decompensated cirrhosis."
"high-review","5. Facilitating Positive Health Behaviors and Well-being to Improve Health Outcomes Standards of Care in Diabetes2025","5.34","C","15","Children and adolescents; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/5. Facilitating Positive Health Behaviors and Well-being to Improve Health Outcomes Standards of Care in Diabetes2025.pdf","Counsel youth with type 1 diabetes C or type 2 diabetes B to engage in 60 min/day or more of moderateor vigorous-intensity aerobic activity, with muscle-strengthening and bonestrengthening activities at least 3 days/ week, and to limit the amount of time being spent sedentary, including recreational screen time."
"high-review","5. Facilitating Positive Health Behaviors and Well-being to Improve Health Outcomes Standards of Care in Diabetes2025","5.39","E","15","Children and adolescents; Procedures, surgery, technology, or devices","","guidelines-sources/ADA/2025/5. Facilitating Positive Health Behaviors and Well-being to Improve Health Outcomes Standards of Care in Diabetes2025.pdf","Counsel adults and youth treated with weight management pharmacotherapy or metabolic surgery that meeting physical activity recommendations, and in particular musclestrengthening exercises, may be beneficial for maintaining lean body mass."
"high-review","5. Facilitating Positive Health Behaviors and Well-being to Improve Health Outcomes Standards of Care in Diabetes2025","5.44","A","21","Contraindications, warnings, and adverse effects; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/5. Facilitating Positive Health Behaviors and Well-being to Improve Health Outcomes Standards of Care in Diabetes2025.pdf","Psychosocial care should be provided to all people with diabetes, with the goal of optimizing health-related quality of life and health outcomes. Such care should be integrated with routine medical care and delivered by trained health care professionals using a collaborative, person-centered, culturally informed approach."
"high-review","5. Facilitating Positive Health Behaviors and Well-being to Improve Health Outcomes Standards of Care in Diabetes2025","5.45","C","21","Acute emergency risk; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/5. Facilitating Positive Health Behaviors and Well-being to Improve Health Outcomes Standards of Care in Diabetes2025.pdf","Implement screening protocols for psychosocial concerns, including diabetes distress, depression, anxiety, fear of hypoglycemia, and disordered eating behaviors. Screen at least annually or when there is a change in disease, treatment, or life circumstances."
"high-review","5. Facilitating Positive Health Behaviors and Well-being to Improve Health Outcomes Standards of Care in Diabetes2025","5.46","B","21","Acute emergency risk; Older adults, frailty, and deintensification","","guidelines-sources/ADA/2025/5. Facilitating Positive Health Behaviors and Well-being to Improve Health Outcomes Standards of Care in Diabetes2025.pdf","When indicated, refer to behavioral health professionals or other trained health care professionals, ideally those with experience in diabetes, for further assessment and treatment for symptoms of diabetes distress, depression, suicidality, anxiety, treatmentrelated fear of hypoglycemia, disordered eating, and/or cognitive capacities. Such specialized psychosocial care should use age-appropriate standardized and validated tools and treatment approaches."
"high-review","5. Facilitating Positive Health Behaviors and Well-being to Improve Health Outcomes Standards of Care in Diabetes2025","5.49","B","25","Contraindications, warnings, and adverse effects; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/5. Facilitating Positive Health Behaviors and Well-being to Improve Health Outcomes Standards of Care in Diabetes2025.pdf","Screen people with diabetes for anxiety symptoms. Health care professionals can discuss diabetes-related worries and should consider referral to a qualified behavioral health professional for further assessment and treatment if anxiety symptoms indicate interference with diabetes self-management behaviors or quality of life."
"high-review","5. Facilitating Positive Health Behaviors and Well-being to Improve Health Outcomes Standards of Care in Diabetes2025","5.50","B","25","Acute emergency risk; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/5. Facilitating Positive Health Behaviors and Well-being to Improve Health Outcomes Standards of Care in Diabetes2025.pdf","Screen people with diabetes at risk for hypoglycemia or fear of hypoglycemia, especially if they have experienced severe and/or frequent hypoglycemic events."
"high-review","6. Glycemic Goals and Hypoglycemia Standards of Care in Diabetes 2025","6.11","A","8","Acute emergency risk; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/6. Glycemic Goals and Hypoglycemia Standards of Care in Diabetes 2025.pdf","Screen individuals at risk for hypoglycemia for impaired hypoglycemia awareness at least annually and when clinically appropriate. E Refer to a trained health care professional for evidence-based intervention to improve hypoglycemia awareness."
"high-review","6. Glycemic Goals and Hypoglycemia Standards of Care in Diabetes 2025","6.12","A","8","Acute emergency risk; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/6. Glycemic Goals and Hypoglycemia Standards of Care in Diabetes 2025.pdf","Screen individuals at high risk for hypoglycemia or with severe and/or frequent hypoglycemia for fear of hypoglycemia at least annually and when clinically appropriate. E Refer to a trained health care professional for evidence-based intervention."
"high-review","6. Glycemic Goals and Hypoglycemia Standards of Care in Diabetes 2025","6.14","A","8","Acute emergency risk; Procedures, surgery, technology, or devices","","guidelines-sources/ADA/2025/6. Glycemic Goals and Hypoglycemia Standards of Care in Diabetes 2025.pdf","Use of CGM is beneficial and recommended for individuals at high risk for hypoglycemia."
"high-review","7. Diabetes Technology Standards of Care in Diabetes 2025","7.3","E","1","Children and adolescents; Older adults, frailty, and deintensification","","guidelines-sources/ADA/2025/7. Diabetes Technology Standards of Care in Diabetes 2025.pdf","The type(s) and selection of devices should be individualized based on a person’s specific needs, circumstances, preferences, and skill level. In the setting of an individual whose diabetes is partially or wholly managed by someone else (e.g., a young child or a person with cognitive impairment or dexterity, psychosocial issues, and/or physical limitations), the caregiver’s skills and preferences are integral to the decision-making process."
"high-review","7. Diabetes Technology Standards of Care in Diabetes 2025","7.8","C","2","Children and adolescents; Procedures, surgery, technology, or devices","","guidelines-sources/ADA/2025/7. Diabetes Technology Standards of Care in Diabetes 2025.pdf","Recommend early initiation, including at diagnosis, of CGM, CSII, and AID depending on a person’s or caregiver’s needs and preferences."
"high-review","7. Diabetes Technology Standards of Care in Diabetes 2025","7.13","E","2","Acute emergency risk; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/7. Diabetes Technology Standards of Care in Diabetes 2025.pdf","Although BGM in people on noninsulin therapies has not consistently shown clinically significant reductions in A1C levels, it may be helpful when modifying meal plans, physical activity plans, and/or medications (particularly medications that can cause hypoglycemia) in conjunction with a treatment adjustment program."
"high-review","7. Diabetes Technology Standards of Care in Diabetes 2025","7.30","B","13","Insulin or high-risk glucose-lowering medication; Procedures, surgery, technology, or devices","","guidelines-sources/ADA/2025/7. Diabetes Technology Standards of Care in Diabetes 2025.pdf","Consider combining technology (CGM, insulin pump, and/or diabetes apps) with online or virtual coaching to improve glycemic outcomes in individuals with diabetes or prediabetes."
"high-review","8. Obesity and Weight Management for the Prevention and Treatment of Type 2 Diabetes","8.22","E","9","Contraindications, warnings, and adverse effects; Procedures, surgery, technology, or devices","","guidelines-sources/ADA/2025/8. Obesity and Weight Management for the Prevention and Treatment of Type 2 Diabetes.pdf","Metabolic surgery should be performed in high-volume centers with interprofessional teams knowledgeable about and experienced in managing obesity, diabetes, and gastrointestinal surgery (www.facs.org/quality-programs/ accreditation-and-verification/metabolicand-bariatric-surgery-accreditation-andquality-improvement-program/)."
"high-review","8. Obesity and Weight Management for the Prevention and Treatment of Type 2 Diabetes Standards of Care in Diabetes 2025","8.22","E","9","Contraindications, warnings, and adverse effects; Procedures, surgery, technology, or devices","","guidelines-sources/ADA/2025/8. Obesity and Weight Management for the Prevention and Treatment of Type 2 Diabetes  Standards of Care in Diabetes 2025.pdf","Metabolic surgery should be performed in high-volume centers with interprofessional teams knowledgeable about and experienced in managing obesity, diabetes, and gastrointestinal surgery (www.facs.org/quality-programs/ accreditation-and-verification/metabolicand-bariatric-surgery-accreditation-andquality-improvement-program/)."
"high-review","9. Pharmacologic Approaches to Glycemic Treatment","9.4","A","1","Insulin or high-risk glucose-lowering medication; Procedures, surgery, technology, or devices","","guidelines-sources/ADA/2025/9. Pharmacologic Approaches to Glycemic Treatment.pdf","Automated insulin delivery systems should be offered to all adults with type 1 diabetes."
"high-review","9. Pharmacologic Approaches to Glycemic Treatment","9.31b","E","17","Contraindications, warnings, and adverse effects; Therapy substitution, access, or affordability","","guidelines-sources/ADA/2025/9. Pharmacologic Approaches to Glycemic Treatment.pdf","If a glucose-lowering medication is unavailable (e.g., in shortage), it is recommended to switch to a different FDA-approved medication with similar efficacy, as clinically appropriate."
"high-review","9. Pharmacologic Approaches to Glycemic Treatment","9.31c","E","17","Contraindications, warnings, and adverse effects; Therapy substitution, access, or affordability","","guidelines-sources/ADA/2025/9. Pharmacologic Approaches to Glycemic Treatment.pdf","Upon resolution of the unavailability (e.g., shortage), reassess the appropriateness of resuming the original FDA-approved medication."
"high-review","10. Cardiovascular Disease and Risk Management","10.1","E","3","Cardiovascular disease and BP/lipids; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","Blood pressure should be measured at every routine clinical visit, or at least every 6 months. Individuals found to have elevated blood pressure without a diagnosis of hypertension (systolic blood pressure 120–129 mmHg and diastolic blood pressure <80 mmHg) should have blood pressure confirmed using multiple readings, including measurements on a separate day, to diagnose hypertension. A Hypertension is defined as a systolic blood pressure ≥130 mmHg or a diastolic blood pressure ≥80 mmHg based on an average of two or more measurements obtained on two or more occasions. A Individuals with blood pressure ≥180/110 mmHg and cardiovascular disease could be diagnosed with hypertension at a single visit."
"high-review","10. Cardiovascular Disease and Risk Management","10.4","A","3","Cardiovascular disease and BP/lipids; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","The on-treatment blood pressure goal is <130/80 mmHg, if it can be safely attained."
"high-review","10. Cardiovascular Disease and Risk Management","10.7","A","6","Cardiovascular disease and BP/lipids; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","In individuals with confirmed officebased blood pressure ≥130/80 mmHg, pharmacologic therapy should be initiated and titrated to achieve the recommended blood pressure goal of <130/80 mmHg."
"high-review","10. Cardiovascular Disease and Risk Management","10.8","A","6","Cardiovascular disease and BP/lipids; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","Individuals with confirmed officebased blood pressure ≥150/90 mmHg should, in addition to lifestyle therapy, have prompt initiation and timely titration of two drugs or a single-pill combination of drugs demonstrated to reduce cardiovascular events in people with diabetes."
"high-review","10. Cardiovascular Disease and Risk Management","10.21","A","9","Cardiovascular disease and BP/lipids; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","For people with diabetes aged 40–75 years at higher cardiovascular risk, including those with one or more additional ASCVD risk factors, highintensity statin therapy is recommended to reduce LDL cholesterol by ≥50% of baseline and to obtain an LDL cholesterol goal of <70 mg/dL (<1.8 mmol/L)."
"high-review","10. Cardiovascular Disease and Risk Management","10.22","B","9","Cardiovascular disease and BP/lipids; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","For people with diabetes aged 40–75 years at higher cardiovascular risk, especially those with multiple additional ASCVD risk factors and an LDL cholesterol ≥70 mg/dL (≥1.8 mmol/L), it may be reasonable to add ezetimibe or a PCSK9 inhibitor to maximum tolerated statin therapy."
"high-review","10. Cardiovascular Disease and Risk Management","10.28","B","9","Cardiovascular disease and BP/lipids; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","For people with diabetes and ASCVD, treatment with high-intensity statin therapy is recommended to obtain an LDL cholesterol reduction of ≥50% from baseline and an LDL cholesterol goal of <55 mg/dL (<1.4 mmol/L). Addition of ezetimibe or a PCSK9 inhibitor with proven benefit in this population is recommended if this goal is not achieved on maximum tolerated statin therapy."
"high-review","10. Cardiovascular Disease and Risk Management","10.30","C","13","Contraindications, warnings, and adverse effects; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","For individuals with fasting triglyceridelevels ≥500 mg/dL (≥5.7 mmol/L), evaluate for secondary causes of hypertriglyceridemia and consider medical therapy to reduce the risk of pancreatitis."
"high-review","10. Cardiovascular Disease and Risk Management","10.31","C","13","CKD and renal dosing; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","In adults with hypertriglyceridemia (fasting triglycerides >150 mg/dL [>1.7 mmol/L] or nonfasting triglycerides >175 mg/dL [>2.0 mmol/L]), clinicians should address and treat lifestyle factors (obesity and metabolic syndrome), secondary factors (diabetes, chronic liver or kidney disease and/or nephrotic syndrome, and hypothyroidism), and medications that raise triglycerides."
"high-review","10. Cardiovascular Disease and Risk Management","10.32","B","13","Cardiovascular disease and BP/lipids; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","In individuals with ASCVD or other cardiovascular risk factors on a statin with managed LDL cholesterol but elevated triglycerides (150–499 mg/dL [1.7–5.6 mmol/L]), the addition of icosapent ethyl can be considered to reduce cardiovascular risk."
"high-review","10. Cardiovascular Disease and Risk Management","10.40a","B","16","Cardiovascular disease and BP/lipids; Older adults, frailty, and deintensification","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","Adults with diabetes are at increased risk for the development of asymptomatic cardiac structural or functional abnormalities (stage B heart failure) or symptomatic (stage C) heart failure. Consider screening adults with diabetes by measuring a natriuretic peptide (B-type natriuretic peptide [BNP] or N-terminal pro-BNP [NT-proBNP]) to facilitate prevention of stage C heart failure."
